,iso_code,date,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
240,ABW,2021-11-20,North America,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161113.0,83424.0,77689.0,,1.0,74.0,150.3,77.82,72.47,,690.0,32.0,0.03,,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,32.0,0.03,74.0,690.0,1.0,,,,,,,,,,,,
876,AFG,2021-11-20,Asia,Afghanistan,156864.0,52.0,50.571,7363.0,2.0,10.143,3937.801,1.305,1.27,184.835,0.05,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,,,,,,,,,,,,,,,,,
1487,AGO,2021-11-20,Africa,Angola,65011.0,14.0,16.0,1730.0,1.0,0.429,1915.829,0.413,0.472,50.982,0.029,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,,,,,,,,,,,,,,,,,
1776,AIA,2021-11-19,North America,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19066.0,9906.0,9160.0,,,41.0,126.06,65.49,60.56,,2711.0,40.0,0.264,,15125.0,,,,,,,,,,,,,81.88,,,,,,40.0,0.264,41.0,2711.0,,,,,,,,,,,,,
2411,ALB,2021-11-20,Europe,Albania,195988.0,465.0,484.0,3035.0,6.0,7.0,68218.762,161.855,168.469,1056.411,2.088,2.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,,,,,,,,,,,,,,,,,,
3040,AND,2021-11-20,Europe,Andorra,16086.0,0.0,38.143,130.0,0.0,0.0,207953.047,0.0,493.095,1680.585,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,,,,,,,,,,,,,,,,,,
3702,ARE,2021-11-20,Asia,United Arab Emirates,741370.0,79.0,70.143,2144.0,0.0,0.143,74203.167,7.907,7.021,214.591,0.0,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,,,,,,,,,,,,,,,,,
4392,ARG,2021-11-20,South America,Argentina,5314702.0,1095.0,1364.429,116374.0,14.0,20.857,116535.601,24.01,29.918,2551.736,0.307,0.457,,,,,,,,,,,,,,,,,,,65879184.0,36105691.0,28379784.0,1263315.0,214081.0,440583.0,144.45,79.17,62.23,2.77,9661.0,55612.0,0.122,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,55612.0,0.122,440583.0,9661.0,214081.0,,,,,,,,,,,,
5022,ARM,2021-11-20,Asia,Armenia,333583.0,870.0,786.0,7253.0,41.0,39.571,112388.347,293.114,264.813,2443.628,13.813,13.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,,,,,,,,,,,,,,,,,,
5640,ATG,2021-11-20,North America,Antigua and Barbuda,4135.0,4.0,2.429,108.0,0.0,0.143,41882.749,40.515,24.599,1093.915,0.0,1.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,,,,,,,,,,,,,,,,,,
6305,AUS,2021-11-20,Oceania,Australia,198442.0,1465.0,1262.0,1944.0,6.0,8.857,7695.065,56.809,48.937,75.383,0.233,0.343,,,,,,,,,,,,,,,,,,,38420798.0,19779653.0,18309411.0,331734.0,72034.0,112339.0,148.99,76.7,71.0,1.29,4356.0,33960.0,0.132,,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,,33960.0,0.132,112339.0,4356.0,72034.0,,,,,,,,,,,,
6940,AUT,2021-11-20,Europe,Austria,1042571.0,15297.0,13495.857,11993.0,42.0,43.429,115289.472,1691.571,1492.397,1326.209,4.644,4.802,,,,,,,,,,,,,,,,,,,12873101.0,6222265.0,5822919.0,1165234.0,72936.0,89933.0,142.35,68.81,64.39,12.89,9945.0,15770.0,0.174,,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,,15770.0,0.174,89933.0,9945.0,72936.0,,,,,,,,,,,,
7570,AZE,2021-11-20,Asia,Azerbaijan,572085.0,1763.0,1950.571,7599.0,20.0,26.143,55958.696,172.448,190.796,743.299,1.956,2.557,,,,,,,,,,,,,,,,,,,10267178.0,5047093.0,4519516.0,700569.0,33072.0,29284.0,100.43,49.37,44.21,6.85,2864.0,4134.0,0.04,,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,,4134.0,0.04,29284.0,2864.0,33072.0,,,,,,,,,,,,
8170,BDI,2021-11-20,Africa,Burundi,20332.0,0.0,15.857,38.0,0.0,0.0,1659.02,0.0,1.294,3.101,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,,,,,,,,,,,,,,,,,,
8826,BEL,2021-11-20,Europe,Belgium,1581500.0,0.0,13826.857,26568.0,0.0,35.286,135957.238,0.0,1188.657,2283.978,0.0,3.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,,,,,,,,,,,,,,,,,,
9441,BEN,2021-11-20,Africa,Benin,24846.0,0.0,1.857,161.0,0.0,0.0,1995.497,0.0,0.149,12.931,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,,,,,,,,,,,,,,,,,,
9587,BES,2021-09-01,North America,Bonaire Sint Eustatius and Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35845.0,19109.0,16736.0,,,196.0,135.55,72.26,63.29,,7412.0,92.0,0.348,,26445.0,,,,,,,,,,,,,77.79,,,,,,92.0,0.348,196.0,7412.0,,,,,,,,,,,,,
10208,BFA,2021-11-20,Africa,Burkina Faso,15514.0,0.0,33.286,265.0,0.0,4.429,721.679,0.0,1.548,12.327,0.0,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,,,,,,,,,,,,,,,,,,
10836,BGD,2021-11-20,Asia,Bangladesh,1573889.0,178.0,230.143,27946.0,0.0,4.0,9463.956,1.07,1.384,168.042,0.0,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,,,,,,,,,,,,,,,,,
11459,BGR,2021-11-20,Europe,Bulgaria,672555.0,1455.0,2533.714,27180.0,56.0,141.286,97519.015,210.972,367.383,3941.041,8.12,20.486,,,,,,,,,,,,,,,,,,,3181487.0,,1690821.0,,7263.0,16620.0,46.13,,24.52,,2410.0,,,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,,,,16620.0,2410.0,7263.0,,,,,,,,,,,,
12095,BHR,2021-11-20,Asia,Bahrain,277348.0,26.0,21.0,1394.0,1.0,0.143,158639.131,14.872,12.012,797.348,0.572,0.082,,,,,,,,,,,,,,,,,,,2851438.0,1185455.0,1152538.0,,3389.0,4083.0,163.1,67.81,65.92,,2335.0,295.0,0.017,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,,295.0,0.017,4083.0,2335.0,3389.0,,,,,,,,,,,,
12710,BHS,2021-11-20,North America,Bahamas,22655.0,0.0,11.857,671.0,0.0,0.857,57077.856,0.0,29.873,1690.543,0.0,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,,,,,,,,,,,,,,,,,
13336,BIH,2021-11-20,Europe,Bosnia and Herzegovina,268572.0,0.0,712.143,12219.0,0.0,36.714,82296.729,0.0,218.217,3744.187,0.0,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,,,,,,,,,,,,,,,,,,
13968,BLR,2021-11-20,Europe,Belarus,638402.0,1859.0,1830.0,4932.0,16.0,14.0,67606.798,196.868,193.797,522.299,1.694,1.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,,,,,,,,,,,,,,,,,,
14576,BLZ,2021-11-20,North America,Belize,29501.0,0.0,86.0,558.0,0.0,3.429,72857.266,0.0,212.39,1378.067,0.0,8.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,,,,,,,,,,,,,,,,,,
14876,BMU,2021-11-05,North America,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101341.0,48464.0,47365.0,5512.0,,1224.0,163.21,78.05,76.28,8.88,19713.0,187.0,0.301,41.67,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,,187.0,0.301,1224.0,19713.0,,,,,,,,,,,,,
15496,BOL,2021-11-20,South America,Bolivia,528407.0,1027.0,839.571,19051.0,2.0,6.714,44655.612,86.792,70.952,1609.998,0.169,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,,,,,,,,,,,,,,,,,,
16130,BRA,2021-11-20,South America,Brazil,22012150.0,8833.0,8330.286,612587.0,217.0,195.0,102863.667,41.277,38.928,2862.644,1.014,0.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,,,,,,,,,,,,,,,,,
16744,BRB,2021-11-20,North America,Barbados,23623.0,197.0,249.429,206.0,0.0,2.143,82107.553,684.722,866.95,716.004,0.0,7.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,,,,,,,,,,,,,,,,,,
17366,BRN,2021-11-20,Asia,Brunei,14444.0,0.0,38.857,96.0,0.0,0.0,32713.371,0.0,88.005,217.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,,,,,,,,,,,,,,,,,,
17991,BTN,2021-11-20,Asia,Bhutan,2632.0,0.0,1.0,3.0,0.0,0.0,3374.792,0.0,1.282,3.847,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,,,,,,,,,,,,,,,,,,
18592,BWA,2021-11-20,Africa,Botswana,194445.0,0.0,106.286,2416.0,0.0,0.714,81112.029,0.0,44.337,1007.826,0.0,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,,,,,,,,,,,,,,,,,,
19208,CAF,2021-11-20,Africa,Central African Republic,11666.0,0.0,0.0,101.0,0.0,0.0,2371.144,0.0,0.0,20.529,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,,,,,,,,,,,,,,,,,,
19873,CAN,2021-11-20,North America,Canada,1772484.0,1709.0,2487.143,29543.0,10.0,23.857,46561.103,44.893,65.334,776.06,0.263,0.627,,,,,,,,,,,,,,,,,,,59935961.0,30142460.0,28833278.0,960223.0,17844.0,60493.0,157.44,79.18,75.74,2.52,1589.0,14302.0,0.038,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,,14302.0,0.038,60493.0,1589.0,17844.0,,,,,,,,,,,,
20508,CHE,2021-11-20,Europe,Switzerland,941218.0,0.0,4597.143,11382.0,5.0,8.143,107993.649,0.0,527.468,1305.95,0.574,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,,,,,,,,,,,,,,,,,,
21145,CHL,2021-11-20,South America,Chile,1740496.0,2611.0,2395.429,38094.0,15.0,20.429,90592.505,135.902,124.682,1982.786,0.781,1.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,,,,,,,,,,,,,,,,,,
21814,CHN,2021-11-20,Asia,China,98544.0,17.0,29.143,4636.0,0.0,0.0,68.234,0.012,0.02,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,2430743000.0,,,,7835000.0,6944286.0,168.31,,,,4808.0,,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,,,,6944286.0,4808.0,7835000.0,,,,,,,,,,,,
22434,CIV,2021-11-20,Africa,Cote d'Ivoire,61577.0,9.0,10.571,702.0,0.0,0.0,2276.109,0.333,0.391,25.948,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,,,,,,,,,,,,,,,,,,
23059,CMR,2021-11-20,Africa,Cameroon,106190.0,0.0,0.0,1770.0,0.0,0.0,3900.565,0.0,0.0,65.016,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,,,,,,,,,,,,,,,,,,
23679,COD,2021-11-20,Africa,Democratic Republic of Congo,57880.0,0.0,21.571,1104.0,0.0,0.714,626.556,0.0,0.234,11.951,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,,,,,,,,,,,,,,,,,,
24295,COG,2021-11-20,Africa,Congo,18717.0,0.0,80.571,339.0,0.0,4.286,3308.634,0.0,14.243,59.926,0.0,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,,,,,,,,,,,,,,,,,,
24463,COK,2021-11-08,Oceania,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24326.0,12600.0,11726.0,,,40.0,138.44,71.7,66.73,,2276.0,14.0,0.08,,17572.0,,,,,,,,,,,,,76.25,,,,,,14.0,0.08,40.0,2276.0,,,,,,,,,,,,,
25088,COL,2021-11-20,South America,Colombia,5045412.0,2590.0,2296.714,128054.0,41.0,41.143,98416.644,50.521,44.8,2497.843,0.8,0.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,,,,,,,,,,,,,,,,,,
25658,COM,2021-11-20,Africa,Comoros,4440.0,3.0,9.857,150.0,1.0,0.143,4997.434,3.377,11.095,168.832,1.126,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,,,,,,,,,,,,,,,,,,
26269,CPV,2021-11-20,Africa,Cape Verde,38324.0,3.0,4.429,350.0,0.0,0.0,68204.185,5.339,7.881,622.886,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,,,,,,,,,,,,,,,,,,
26894,CRI,2021-11-20,North America,Costa Rica,565548.0,0.0,198.429,7251.0,0.0,7.714,110049.069,0.0,38.612,1410.96,0.0,1.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,,,,,,,,,,,,,,,,,,
27513,CUB,2021-11-20,North America,Cuba,960472.0,287.0,297.429,8293.0,3.0,2.0,84866.107,25.359,26.28,732.759,0.265,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,,,,,,,,,,,,,,,,,,
27753,CUW,2021-11-20,North America,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196835.0,102378.0,94457.0,,,161.0,119.44,62.12,57.32,,977.0,60.0,0.036,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,60.0,0.036,161.0,977.0,,,,,,,,,,,,,
28075,CYM,2021-11-12,North America,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119435.0,57357.0,55157.0,,,418.0,179.61,86.25,82.95,,6286.0,67.0,0.101,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,,67.0,0.101,418.0,6286.0,,,,,,,,,,,,,
28698,CYP,2021-11-20,Europe,Cyprus,129888.0,730.0,407.429,590.0,1.0,0.429,144963.477,814.728,454.717,658.478,1.116,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,,,,,,,,,,,,,,,,,,
29335,CZE,2021-11-20,Europe,Czechia,1980849.0,23033.0,14234.714,32005.0,126.0,82.0,184702.244,2147.689,1327.301,2984.274,11.749,7.646,,,,,,,,,,,,,,,,,,,13019906.0,6507226.0,6248339.0,621071.0,15346.0,33638.0,121.4,60.68,58.26,5.79,3137.0,12695.0,0.118,,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,,12695.0,0.118,33638.0,3137.0,15346.0,,,,,,,,,,,,
29999,DEU,2021-11-20,Europe,Germany,5374446.0,45183.0,48201.0,99067.0,74.0,198.571,64057.4,538.531,574.502,1180.768,0.882,2.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,,,,,,,,,,,,,,,,,
30612,DJI,2021-11-20,Africa,Djibouti,13501.0,0.0,0.857,186.0,0.0,0.0,13471.403,0.0,0.855,185.592,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,,,,,,,,,,,,,,,,,,
31221,DMA,2021-11-20,North America,Dominica,5589.0,0.0,50.571,35.0,0.0,0.143,77440.004,0.0,700.707,484.953,0.0,1.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,,,,,,,,,,,,,,,,,,
31879,DNK,2021-11-20,Europe,Denmark,450974.0,3833.0,3854.571,2819.0,11.0,7.286,77576.221,659.35,663.061,484.922,1.892,1.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,,,,,,,,,,,,,,,,,,
